Pubkey,Signature,Event Type,Log Data
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,3aTrawPpk7HxeiCS1WqGCfrgRgqGfrCfM5nBawiBeAsRhTJ3YFCc2k9yGDVsvhXpHkAMydJF4e7v4Pfmj1DTkqws,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715691740, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=9091, base_asset_amount=-1800000000, user_last_cumulative_funding=33844425982, amm_cumulative_funding_long=34055676323, amm_cumulative_funding_short=33849476648))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,5La4Etkga1MrwSYQkrnHFnPyHPo5FBrdJSMnHaFRAEN8sYUyWiL6avBqHgHr5S2iuxmSNg8NeanAx1qbcB3iRiax,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715691655, user_authority=Pubkey(
    ACmnVY5gf1z9UGhzBgnr2bf3h2ZwXW2EDW1w8RC9cQk4,
), user=Pubkey(
    FPMWfMBQp81PkMEBSyaVwadzesfkTkYFbegaaoGBcpPB,
), market_index=0, funding_payment=-34012194, base_asset_amount=6734200000000, user_last_cumulative_funding=34050625657, amm_cumulative_funding_long=34055676323, amm_cumulative_funding_short=33849476648))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,3J4g5DDojy4UQ5HmGwRWPEdH8rLBqi2pieaHi9NBJwjqQmNEUbtTE35y1ZZpimWCYth88tvvjjbBVY4ZzYzqy68P,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715691418, user_authority=Pubkey(
    6xPxxRHBHpyn65d4xhV1dGqgrtWocx3fC5zVKqTZv1F5,
), user=Pubkey(
    F9U72atm7ZhN2e1qSpoUteyomyAeiv6ryoD4nkGnRdiM,
), market_index=0, funding_payment=-298750, base_asset_amount=1300000000, user_last_cumulative_funding=33820817418, amm_cumulative_funding_long=34050625657, amm_cumulative_funding_short=33844425982))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,Didpfgcj2Lwax64ivJmZTHBDqAGxdsj3Thm72CJ9RVkjDXVMKQJHLykbts8f3cBDZDejSyjYyauB37pqLEBcX4d,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715689669, user_authority=Pubkey(
    GShMSmfpvmpT5fR4d7fvwR28LnvCvkAbpQCeGqestBv7,
), user=Pubkey(
    7bbF6mCk4PXUTfTNKaBZ3cKTpS83fVD4hYrUGaPBECtE,
), market_index=0, funding_payment=-2018455, base_asset_amount=100000000, user_last_cumulative_funding=13866072455, amm_cumulative_funding_long=34050625657, amm_cumulative_funding_short=33844425982))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,26YxGzywF5sUGNx2MzDM8J4qSgXHARqkMt5CNkjeR85UFGCQLA75fjxiDZsuQGygUT6wHZUmCBdYKG8RdRXam5DB,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715688227, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=9088, base_asset_amount=-1700000000, user_last_cumulative_funding=33839079524, amm_cumulative_funding_long=34050625657, amm_cumulative_funding_short=33844425982))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,2a5dr99i23jB28jeZsGepWEob3HYTgnN5v1uUqkkwyPL8V3rxJfoyV46ZGekDMgV18RGx3cXmDrbWKVMEF9nXJcu,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715684501, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=8016, base_asset_amount=-1600000000, user_last_cumulative_funding=33834069316, amm_cumulative_funding_long=34045279199, amm_cumulative_funding_short=33839079524))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,2y1p1siewqWCzVQ8dWR9yC97ZPXiZt5Tc1p86unkAQjL8ShCAHoLLsLee1jh3Lx67NuLgmoBgy71kdF29ETWvdG1,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715680853, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=9469, base_asset_amount=-1600000000, user_last_cumulative_funding=33828151191, amm_cumulative_funding_long=34040268991, amm_cumulative_funding_short=33834069316))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,37rN8QsPo2BU2jFnLdXEH5sbm5rVs4H6Cxd8LTXd52Jd54sZkBhHJHqB5UXkwaNxZE1PwJkFWAzwC97Lf4NDCy95,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715677922, user_authority=Pubkey(
    gcnNTwLBoWrn3vYtRQW74itaG9rYHLdTVwxqKtgwMd8,
), user=Pubkey(
    fKKEmJacwS7R4ksDbZr168Cwam5cKfpLDSiCQA5Eer7,
), market_index=0, funding_payment=22387, base_asset_amount=-2500000000, user_last_cumulative_funding=33819196359, amm_cumulative_funding_long=34034350866, amm_cumulative_funding_short=33828151191))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,9L9V6B4AQNi5ryrZp5VTqRRHc3XMXNKXFrACe72K7k4YAsh2VBoqPBzoEXhMc2Mxr4dVNec2RRCt8HFSmzKxr2H,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715677331, user_authority=Pubkey(
    EvqdHew6Nsg14SJGdcUoL8gvF9hNdMsxWyLyHW6oYEER,
), user=Pubkey(
    GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,
), market_index=0, funding_payment=7941, base_asset_amount=-1600000000, user_last_cumulative_funding=33823187525, amm_cumulative_funding_long=34034350866, amm_cumulative_funding_short=33828151191))"
GA7F9pnnRTEmruK4Z6oZSuXweQchnscmrtKRLeAuiSa8,2Po5Biux32GdrPSMb9HmozmLPesrFKyTFYNVVWzNafoDTyRVeQGzhoMLeSngPjKrjeahijzTaPHxrsR9ozwM5WmZ,FundingPaymentRecord,"Event(name='FundingPaymentRecord', data=FundingPaymentRecord(ts=1715677238, user_authority=Pubkey(
    3hyivpe5MQb1M5oZVPbqaQgVNZknHS6ychUJBa9ToVYS,
), user=Pubkey(
    8aE4LGKXwsN1vjffSoS2nQiMZSPUybGj73Vknud5kNSF,
), market_index=0, funding_payment=-1489, base_asset_amount=300000000, user_last_cumulative_funding=34029387200, amm_cumulative_funding_long=34034350866, amm_cumulative_funding_short=33828151191))"
