amount,oraclePrice,marketDepositBalance,marketWithdrawBalance,marketCumulativeDepositInterest,marketCumulativeBorrowInterest,totalDepositsAfter,totalWithdrawsAfter,txSig,slot,datetime,depositRecordId,userAuthority,user,direction,marketIndex,explanation,programId
0.5,112.20547,428895.90378789,92676.549595197,1.0250206768,1.0643860379,56.102735,0.0,5kwgg66ABFGhRNggD3LDihK2h3pjpLUVQRe9XjPvopBoG57vZVwJD5hezbAvvoG8WnyQS7ETbTVN3RbAkN8fyNXE,237756657,12/24/2023  7:51:05 AM,9271967,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,deposit,1,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
1.8,113.746167,433371.699197034,92610.551960851,1.0250210744,1.0643881031,260.845835,0.0,2b63xC7oGJfFtL1fdyVMYytv9zeMuhLBc2NMDVFaKF9TmQUT9xKyCNXUiTFxp3qvt1gTYaujMCd78yUFUWoCEDK7,237763660,12/24/2023  8:43:55 AM,9272150,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,deposit,1,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
197.0,1.0,23898726.005014617,12264967.53406373,1.0181841566,1.0770948386,260.845835,197.0,2z7HENHRWf3mY6CZ5anr7TDffvBinrutytsZ5a9rP2C3tUK9eWrS9B3BpZRcXT7NVechDyKrspnTwGqztLqRMcvw,237764929,12/24/2023  8:53:15 AM,9266070,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,withdraw,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
22.096497,1.0,24025797.34114681,12185287.753070341,1.018196478,1.0771197285,260.845835,219.096497,5L84eyUncK5rgCGVFkfePJkDS9KZNtkASuRvH4H7154qnWfKKpVigUAbeSknJuHXdvSHEpgex2NmdBD1aaa4Ym2w,237790722,12/24/2023  12:08:25 PM,9266589,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,withdraw,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
1.0,111.352931,398604.137483304,90559.626309542,1.025030194,1.0644331562,372.198766,219.096497,31q3SY15h1ZZnchvkGLBzQPxcF845TewcuMANNTHUGTzKGDnWWCMZbe9zmi85k6L7aDYh2Du6Bvs2UQks4jRFro8,237909520,12/25/2023  3:02:56 AM,9274598,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,deposit,1,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
81.0,1.0,25099224.710729487,9900647.148397353,1.018232021,1.0772105125,372.198766,300.096497,3w3cyC4PEooYAnjA1XsCQmZeXHZZdS2tV1KbgnKawxdgdyVpqDUvAVZpHcMyhbJGaPoHuMuwvZqPgssCiMTEE3hP,237910114,12/25/2023  3:07:29 AM,9268696,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,withdraw,0,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
0.63,106.502829,427849.157814791,89044.083389966,1.0250452355,1.0645105518,439.295548,300.096497,3kqP197hJc7jyZjZHL8vewqzuLSqMXFTKsY1vWvrLMCwhMEv1sSXFepHKWbFGxwK6wBUUt4eCh3oqWjZwBMfruHF,238170863,12/26/2023  11:44:46 AM,9279042,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,deposit,1,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
0.45,109.639682,373888.395031614,89229.524078503,1.0250474042,1.0645211929,488.633404,300.096497,63J74i3QZ5GVkmQEfADnGdMicpv4ZKZDL5WAJoFCUrSnfu4HkrdUXVBCR7jQUSRW2HTWWap7RwgjZCtzJ2cGMLp8,238205303,12/26/2023  3:59:20 PM,9279771,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,deposit,1,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.44,109.365836,373787.901938222,89229.524078503,1.0250474878,1.0645215854,488.633404,348.217464,t11im1XX6uSDacxbBtNVXgXeRAKJJs2FUX7b7uJtJPtVLoYZH9qSox6JMPNBdTU1Saw6mtDRgQoqvXqcESFNgJd,238206495,12/26/2023  4:08:24 PM,9279791,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,withdraw,1,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.24,111.58161,380328.81678433,89233.714762984,1.0250477881,1.0645230148,488.633404,374.99705,4GZ3YmiAyG23JGHAHTxLcisH6nm2HXfQDRT2cqzYCMgwp6RnZjPtaWJzH3EF86CBBjK559CBxo2AdGjHjFd2jPUy,238210911,12/26/2023  4:41:30 PM,9279873,EQ9fScwf3VtzgHUxkZTVHrknfjZvjiRV8cB857AGfuYT,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,withdraw,1,transfer,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
