pnl,user,baseAssetAmount,quoteAssetAmountAfter,quoteEntryAmount,settlePrice,txSig,slot,datetime,marketIndex,explanation,programId
-0.364872,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,0.5,-56.054241,-56.36275,112.108482,4Zm4CighKDksgqTcZPgK7EMcuwof3XMDUTunaVw75ergVQUPsCbLXv6ZVcaW6D4d6k5HWxtBnzMUZmZHNKguLDtr,237758682,12/24/2023  8:06:33 AM,0,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
1.203408,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,1.0,-114.436102,-113.3782,114.436102,2KBq9sPkSHQ9v8KsxCxH5ssnjZveejPwSjsvBJyRRdddbudzgGdGgUBTDLc428NATLSRnct3CjR9Pu7NAGWQraT7,237790524,12/24/2023  12:06:56 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
5.342485,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,1.2,-135.7891,-135.7891,120.05645,ZbzyqnZKp6431riaiMtxC9s1dANbKrXDJZPo3Rna9D7BzPSLgXvyMnN2SAcVagBohHLDMcivjiHV8NS1pp8C7bv,238039373,12/25/2023  7:16:32 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-9.204603,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,2.8,-316.175056,-324.619313,112.919663,v7EVeReR2xgQq7sinz8EJDL29qeGpbFdg9tM69x8LUAHtS2mREYWmREYodWPrQtTp98NwfRnTQMkX1VypJG99QT,238151761,12/26/2023  9:25:28 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.052503,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,2.8,-316.122553,-324.619313,112.900912,5LL3ikw3nzJiithwY1GyH1jHxRPkawcRrmsJfxBpdwsjyfiRNTw7AfQVGf6KmGtB2pZHtVUftdUHmxqUQqY6Em83,238151837,12/26/2023  9:26:05 AM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-19.338062,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,3.2,-340.673968,-368.413194,106.460615,3QDgGvc91zKrDnDUjR4ztZm1NjZWf8z72mpqqwfJ8ixrYS55Ly1Sk3nJ8gFSmQ62134zWMPFviKUB55iDoNRBFLK,238179698,12/26/2023  12:47:49 PM,0,none,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
-17.462937,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,4.5,-469.532434,-512.180872,104.340541,5uKJ41BWQfzaRk1iYMd8o2J3woHYztPxjjzm6FdRtiARkSbAvSs6DQXXTV5KUjRx5AoY89sYWvXTuZm3i2BeREYQ,238441114,12/27/2023  9:30:43 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.576513,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,4.5,-468.955921,-512.180872,104.212427,2hLCoCaoMCWjcuWWNA9Nf2jTZon6nCghfa7b9hk65WtoWVFanQ8xuQztLuGvaHLpzZ9cZq78ySEdjt4fGFPPw17Q,238441179,12/27/2023  9:31:13 PM,0,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-0.059336,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,58.0,-147.248381,-146.642738,2.380144,3sRonMP4vEoVXcNgEz8AspCAzrV6dvswJ79iyFVWSvK6Lnf91ra27dc5h1AJPkRhMt7KuxEVfYXteTNS9LBKLXtc,238478186,12/28/2023  2:09:04 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
-3.510417,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,58.0,-143.737964,-146.642738,2.38205,3fdA69XzpgnsJmW4rTfCtQwfRMApx8uYmydfga1cP4AqrvsEdcF5Vqf3rAx52cWkfyfQS9Cka9y3S41StfV2e1Mb,238478230,12/28/2023  2:09:24 AM,20,none,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
