fillerReward,baseAssetAmountFilled,quoteAssetAmountFilled,takerFee,makerRebate,referrerReward,quoteAssetAmountSurplus,takerOrderBaseAssetAmount,takerOrderCumulativeBaseAssetAmountFilled,takerOrderCumulativeQuoteAssetAmountFilled,makerOrderBaseAssetAmount,makerOrderCumulativeBaseAssetAmountFilled,makerOrderCumulativeQuoteAssetAmountFilled,oraclePrice,makerFee,txSig,slot,datetime,action,actionExplanation,marketIndex,marketType,filler,fillRecordId,taker,takerOrderId,takerOrderDirection,maker,makerOrderId,makerOrderDirection,spotFulfillmentMethodFee,programId
0.005636,0.5,56.36275,0.056363,-0.011272,0.0,0.0,0.5,0.5,56.36275,2.4,0.5,56.36275,112.160248,-0.011272,5GBrbQT2ySqoP2SDp38GGg87c4XMV8KjuosQnadgwcYyTpko1FMobmgBoQQ5Tyc1NmU7BtWKhoYp8dZe2cxgFY79,237758534,12/24/2023  8:05:23 AM,fill,orderFilledWithMatch,0,perp,EqTM8rk3BD9XFSQcM6AvFrAnCfmFj78iFRduzgnjd3A,1859501,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,14,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,219863932.0,short,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.003386,0.1,11.285099,0.005643,0.0,0.0,0.0,0.1,0.1,11.285099,0.0,0.0,0.0,113.022666,0.0,3JXXMS8v6BKkH6KBbEKXPuW9TdHwusEvxDuLVPLrsQY2gQHMS2BgFwyKoqPzNXGKNSE2KLxZhY3tEvGiYrLKU9Nu,237760459,12/24/2023  8:19:56 AM,fill,orderFillWithSerum,1,spot,F9JBNMM1bJHahG37FH1qvCxcpAPTzTyQVXCaKdRnWXch,1586322,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,15,short,,,,0.002257,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.006807,0.2,22.689,0.011345,0.0,0.0,0.0,0.2,0.2,22.689,0.0,0.0,0.0,113.528326,0.0,661Xss14VxaWkDYjDX2p2KgqEwSzM63CD5VCguUPh62uZzhzQ9VYv38Nxf6ajMNTZmuULJjVVw4m2Fm73z6LKuiJ,237761069,12/24/2023  8:24:20 AM,fill,orderFillWithSerum,1,spot,EqTM8rk3BD9XFSQcM6AvFrAnCfmFj78iFRduzgnjd3A,1586330,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,16,short,,,,0.004538,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.005595,0.164,18.64844,0.009325,0.0,0.0,0.0,0.164,0.164,18.64844,0.0,0.0,0.0,113.675001,0.0,4bcCeYtTkqAauK3XUfY2R5kwgtUsSFMywXArsup7ijhBpuksPrFTw4ScGq4gQYJR2eXSGSRrAmhJtku6yncpVuQF,237761267,12/24/2023  8:25:51 AM,fill,orderFillWithSerum,1,spot,F9JBNMM1bJHahG37FH1qvCxcpAPTzTyQVXCaKdRnWXch,1586335,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,18,long,,,,0.00373,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.005701,0.5,57.01545,0.057016,-0.011403,0.0,0.0,0.5,0.5,57.01545,26.7,0.5,57.01545,113.576388,-0.011403,4tgPmwkJ5jvNx57JmRMExwdBjAiFEN6xkZuPwawypw8393mHA5MuskaRVKcnfTfQLbbQhprWLegi4Zfx8wPqvUUU,237763731,12/24/2023  8:44:26 AM,fill,orderFilledWithMatch,0,perp,EqTM8rk3BD9XFSQcM6AvFrAnCfmFj78iFRduzgnjd3A,1859858,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,20,long,C13FZykQfLXKuMAMh2iuG7JxhQqd8otujNRAgVETU6id,219882094.0,short,0.0,"dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH"
0.0244,1.8,203.0598,0.10153,0.0,0.0,0.0,1.8,1.8,203.0598,0.0,0.0,0.0,112.795545,0.0,5DfKm5tHBYrTq7YETz4zNB42UiKPLKE6Zm1ozFpmXZCuZtYSqHF9SzACLYphvs2BiQbCavegiZ9vUK7JsjT6x2rX,237764255,12/24/2023  8:48:20 AM,fill,orderFillWithSerum,1,spot,F9JBNMM1bJHahG37FH1qvCxcpAPTzTyQVXCaKdRnWXch,1586359,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,21,short,,,,0.040612,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.001501,0.269,30.022821,0.015012,-0.006004,0.0,0.0,0.269,0.269,30.022821,80.0,0.269,30.022821,112.149722,-0.006004,2H7UTTHz3vDrwdp1gr17ib9QbyqVC5Cp3q2Z7jwS8TEWNCpmYaScM3VHRFAPjWUhxZFbsGJuagZhisPpLUnvKJU9,237848548,12/24/2023  7:22:42 PM,fill,orderFilledWithMatch,1,spot,EqTM8rk3BD9XFSQcM6AvFrAnCfmFj78iFRduzgnjd3A,1586940,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,22,short,BRksHqLiq2gvQw1XxsZq6DXZjD3GB5a9J63tUBgd6QS9,23407817.0,long,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.008955,0.267,29.846863,0.014924,0.0,0.0,0.0,0.267,0.267,29.846863,0.0,0.0,0.0,112.037275,0.0,3jifvyW6XveXVEDht1FUsaczC2yNDn2oKbupB3RBTuy4igssh6zjvvvdKDYMVSBfkqkLawg2ynYp3dkzY7fcvZL9,237848689,12/24/2023  7:23:45 PM,fill,orderFillWithSerum,1,spot,F9JBNMM1bJHahG37FH1qvCxcpAPTzTyQVXCaKdRnWXch,1586943,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,23,long,,,,0.005969,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0244,1.0,111.366044,0.055684,0.0,0.0,0.0,1.0,1.0,111.366044,0.0,0.0,0.0,111.365356,0.0,4ssf3nRzu43k3sasuyfpm1Suk9urPFH7MC4kq4mQucivVDxQsuzkRLNa7PBzKFG1M87ZCQPkP1cZUnTx9Jxe9D69,237909731,12/25/2023  3:04:35 AM,fill,orderFillWithSerum,1,spot,76febxBeJH2NdD4DZPc7yyT5h4fVqGv6H9phUz12kYDt,1587302,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,24,short,,,,0.022273,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
0.0112,1.0,112.0,0.112,-0.0224,0.0,0.0,1.0,1.0,112.0,10.0,1.0,112.0,111.115957,-0.0224,2wQ2PnjyPVrd6PH9t9hbtw3zrYHkfPpNzyiAj6fy7oyBfoxAWB4GXSPG5MYr8n4BouZcRGwBZeUHnNY8P2Knmfix,237910393,12/25/2023  3:09:33 AM,fill,orderFilledWithMatch,0,perp,B1Wub4BsB72BFjfwtsx1Fko8yg4C2SsBTUJzgvnMEEA5,1868277,HNFvxa8wDiXpJHGnLq3db9NGxHr8hu37gTjAyfSHVGXT,25,long,EWvvvhYYKnRAyaw5PGpPRs4TkdAVMw1vL5ZvYFSzNcSQ,239.0,short,0.0,dRiftyHA39MWEi3m9aunc5MzRF1JYuBsbn6VPcn33UH
